"Air.Pollution.Class","Concatenate.pollutant.aggregation","Country.Fake","DownloadRawData","GoogleMap","Sampling.Point","Air.Pollutant.Group","Air.Quality.Station.Area","Air.Quality.Station.Type","AQ.Station.Name","City","Country.Colour","Country","Data.Aggregation.Label","DownloadRawData.1","GoogleMap.1","Sampling.Point.1","Unit.Of.Airpollution.Level","UOM.corrected","Year.Of.Statistics","Latitude","Longitude","Geometry..generated.","Air.Pollution.Level","Threshold.1","Threshold.3","Year","Region"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BG&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA-BG0046A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/42.578299999999999+23.114000000000001","SPO-BG0046A_06001_100","PM2.5","Urban","Background","Tsarkva - Pernik","Pernik",NA,"Bulgaria","Annual mean / 1 calendar year","","http://www.google.com/maps/place/42.578299999999999+23.114000000000001","SPO-BG0046A_06001_100","ug/m3","ug/m3",2018,42.5783,23.114,"",30.755,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0008A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.264600000000002+18.975000000000001","SPO_PL0008A_6001_002","PM2.5","Urban","Background","Katowice, ul. Kossutha","Katowice",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.264600000000002+18.975000000000001","SPO_PL0008A_6001_002","ug/m3","ug/m3",2018,50.2646,18.975,"",29.99,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0012A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.057699999999997+19.926200000000001","SPO_PL0012A_6001_001","PM2.5","Urban","Traffic","Kraków, Aleja Krasińskiego","Kraków",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.057699999999997+19.926200000000001","SPO_PL0012A_6001_001","ug/m3","ug/m3",2018,50.0577,19.9262,"",39.375,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0039A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/50.069299999999998+20.0535","SPO_PL0039A_6001_001","PM2.5","Urban","Industrial","Kraków, ul. Bulwarowa","Kraków",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/50.069299999999998+20.0535","SPO_PL0039A_6001_001","ug/m3","ug/m3",2018,50.0693,20.0535,"",26.651,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0064A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.134099999999997+17.995699999999999","SPO_PL0064A_6001_001","PM2.5","Urban","Background","Bydgoszcz, ul. Warszawska","Bydgoszcz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.134099999999997+17.995699999999999","SPO_PL0064A_6001_001","ug/m3","ug/m3",2018,53.1341,17.9957,"",27.836,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0100A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/51.776400000000002+19.4529","SPO_PL0100A_6001_001","PM2.5","Urban","Background","Łódź, ul. Legionów","Lódz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/51.776400000000002+19.4529","SPO_PL0100A_6001_001","ug/m3","ug/m3",2018,51.7764,19.4529,"",27.158,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0115A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/51.856699999999996+19.421199999999999","SPO_PL0115A_6001_001","PM2.5","Urban","Background","Zgierz, ul. Mielczarskiego","Zgierz",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/51.856699999999996+19.421199999999999","SPO_PL0115A_6001_001","ug/m3","ug/m3",2018,51.8567,19.4212,"",30.197,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0134A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/52.191699999999997+20.837499999999999","SPO_PL0134A_6001_002","PM2.5","Suburban","Background","Piastów, ul. Pułaskiego","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/52.191699999999997+20.837499999999999","SPO_PL0134A_6001_002","ug/m3","ug/m3",2018,52.1917,20.8375,"",25.01,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0144A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/52.053800000000003+20.4299","SPO_PL0144A_6001_001","PM2.5","Urban","Background","Żyrardów, ul. Roosevelta","",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/52.053800000000003+20.4299","SPO_PL0144A_6001_001","ug/m3","ug/m3",2018,52.0538,20.4299,"",26.04,NA,"",2018,"East"
5,"PM2.5 : P1Y","","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0151A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","http://www.google.com/maps/place/53.181399999999996+22.054400000000001","SPO_PL0151A_6001_001","PM2.5","Urban","Background","Łomża, ul. Sikorskiego","Lomza",NA,"Poland","Annual mean / 1 calendar year","","http://www.google.com/maps/place/53.181399999999996+22.054400000000001","SPO_PL0151A_6001_001","ug/m3","ug/m3",2018,53.1814,22.0544,"",28.888,NA,"",2018,"East"
