air_pollution_class,concatenate_pollutant_aggregation,country_fake,download_raw_data,google_map,sampling_point,air_pollutant_group,air_quality_station_area,air_quality_station_type,aq_station_name,city,country_colour,country,data_aggregation_label,download_raw_data_1,google_map_1,sampling_point_1,unit_of_airpollution_level,uom_corrected,year_of_statistics,latitude,longitude,geometry_generated,air_pollution_level,threshold_1,threshold_3,year,region
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BG&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA-BG0046A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/42.578299999999999+23.114000000000001,SPO-BG0046A_06001_100,PM2.5,Urban,Background,Tsarkva - Pernik,Pernik,NA,Bulgaria,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/42.578299999999999+23.114000000000001,SPO-BG0046A_06001_100,ug/m3,ug/m3,2018,42.5783,23.114,NA,30.755,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0008A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/50.264600000000002+18.975000000000001,SPO_PL0008A_6001_002,PM2.5,Urban,Background,"Katowice, ul. Kossutha",Katowice,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/50.264600000000002+18.975000000000001,SPO_PL0008A_6001_002,ug/m3,ug/m3,2018,50.2646,18.975,NA,29.99,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0012A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/50.057699999999997+19.926200000000001,SPO_PL0012A_6001_001,PM2.5,Urban,Traffic,"Kraków, Aleja Krasińskiego",Kraków,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/50.057699999999997+19.926200000000001,SPO_PL0012A_6001_001,ug/m3,ug/m3,2018,50.0577,19.9262,NA,39.375,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0039A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/50.069299999999998+20.0535,SPO_PL0039A_6001_001,PM2.5,Urban,Industrial,"Kraków, ul. Bulwarowa",Kraków,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/50.069299999999998+20.0535,SPO_PL0039A_6001_001,ug/m3,ug/m3,2018,50.0693,20.0535,NA,26.651,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0064A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/53.134099999999997+17.995699999999999,SPO_PL0064A_6001_001,PM2.5,Urban,Background,"Bydgoszcz, ul. Warszawska",Bydgoszcz,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/53.134099999999997+17.995699999999999,SPO_PL0064A_6001_001,ug/m3,ug/m3,2018,53.1341,17.9957,NA,27.836,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0100A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/51.776400000000002+19.4529,SPO_PL0100A_6001_001,PM2.5,Urban,Background,"Łódź, ul. Legionów",Lódz,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/51.776400000000002+19.4529,SPO_PL0100A_6001_001,ug/m3,ug/m3,2018,51.7764,19.4529,NA,27.158,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0115A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/51.856699999999996+19.421199999999999,SPO_PL0115A_6001_001,PM2.5,Urban,Background,"Zgierz, ul. Mielczarskiego",Zgierz,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/51.856699999999996+19.421199999999999,SPO_PL0115A_6001_001,ug/m3,ug/m3,2018,51.8567,19.4212,NA,30.197,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0134A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/52.191699999999997+20.837499999999999,SPO_PL0134A_6001_002,PM2.5,Suburban,Background,"Piastów, ul. Pułaskiego",NA,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/52.191699999999997+20.837499999999999,SPO_PL0134A_6001_002,ug/m3,ug/m3,2018,52.1917,20.8375,NA,25.01,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0144A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/52.053800000000003+20.4299,SPO_PL0144A_6001_001,PM2.5,Urban,Background,"Żyrardów, ul. Roosevelta",NA,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/52.053800000000003+20.4299,SPO_PL0144A_6001_001,ug/m3,ug/m3,2018,52.0538,20.4299,NA,26.04,NA,NA,2018,East
5,PM2.5 : P1Y,NA,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PL&CityName=&Pollutant=6001&Year_from=2018&Year_to=2018&Station=STA_PL0151A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,http://www.google.com/maps/place/53.181399999999996+22.054400000000001,SPO_PL0151A_6001_001,PM2.5,Urban,Background,"Łomża, ul. Sikorskiego",Lomza,NA,Poland,Annual mean / 1 calendar year,NA,http://www.google.com/maps/place/53.181399999999996+22.054400000000001,SPO_PL0151A_6001_001,ug/m3,ug/m3,2018,53.1814,22.0544,NA,28.888,NA,NA,2018,East
