country,year_of_statistics,premature_deaths,region,average_pm25
European Union - 27 countries (from 2020),2005,431202,NA,NA
European Union - 27 countries (from 2020),2007,349335,NA,NA
European Union - 27 countries (from 2020),2008,354004,NA,NA
European Union - 27 countries (from 2020),2009,362672,NA,NA
European Union - 27 countries (from 2020),2010,367509,NA,NA
European Union - 27 countries (from 2020),2011,391884,NA,NA
European Union - 27 countries (from 2020),2012,343480,NA,NA
European Union - 27 countries (from 2020),2013,328781,NA,NA
European Union - 27 countries (from 2020),2014,291671,NA,NA
European Union - 27 countries (from 2020),2015,322139,NA,NA
European Union - 27 countries (from 2020),2016,283047,NA,NA
European Union - 27 countries (from 2020),2017,304667,NA,NA
European Union - 27 countries (from 2020),2018,291931,NA,NA
European Union - 27 countries (from 2020),2019,231973,NA,NA
European Union - 27 countries (from 2020),2020,238582,NA,NA
European Union - 27 countries (from 2020),2021,254867,NA,NA
European Union - 27 countries (from 2020),2022,239086,NA,NA
European Union - 28 countries (2013-2020),2005,:,NA,NA
European Union - 28 countries (2013-2020),2007,:,NA,NA
European Union - 28 countries (2013-2020),2008,:,NA,NA
European Union - 28 countries (2013-2020),2009,:,NA,NA
European Union - 28 countries (2013-2020),2010,:,NA,NA
European Union - 28 countries (2013-2020),2011,:,NA,NA
European Union - 28 countries (2013-2020),2012,:,NA,NA
European Union - 28 countries (2013-2020),2013,:,NA,NA
European Union - 28 countries (2013-2020),2014,:,NA,NA
European Union - 28 countries (2013-2020),2015,:,NA,NA
European Union - 28 countries (2013-2020),2016,:,NA,NA
European Union - 28 countries (2013-2020),2017,:,NA,NA
European Union - 28 countries (2013-2020),2018,:,NA,NA
European Union - 28 countries (2013-2020),2019,:,NA,NA
European Union - 28 countries (2013-2020),2020,:,NA,NA
European Union - 28 countries (2013-2020),2021,:,NA,NA
European Union - 28 countries (2013-2020),2022,:,NA,NA
Belgium,2005,9333,NA,NA
Belgium,2007,7197,NA,NA
Belgium,2008,8628,NA,NA
Belgium,2009,9500,NA,NA
Belgium,2010,9829,NA,NA
Belgium,2011,9064,NA,NA
Belgium,2012,8132,NA,NA
Belgium,2013,8690,NA,NA
Belgium,2014,6256,NA,NA
Belgium,2015,6214,NA,NA
Belgium,2016,5775,NA,NA
Belgium,2017,5679,NA,NA
Belgium,2018,5917,West,12.995447761194
Belgium,2019,4537,West,11.3608676470588
Belgium,2020,3930,West,9.6108
Belgium,2021,4469,West,10.9348142857143
Belgium,2022,4147,West,10.4107283950617
Bulgaria,2005,19288,NA,NA
Bulgaria,2007,17315,NA,NA
Bulgaria,2008,19064,NA,NA
Bulgaria,2009,16173,NA,NA
Bulgaria,2010,15923,NA,NA
Bulgaria,2011,20014,NA,NA
Bulgaria,2012,16041,NA,NA
Bulgaria,2013,13770,NA,NA
Bulgaria,2014,14467,NA,NA
Bulgaria,2015,15036,NA,NA
Bulgaria,2016,13748,NA,NA
Bulgaria,2017,13611,NA,NA
Bulgaria,2018,12552,East,19.5862857142857
Bulgaria,2019,10413,East,16.538
Bulgaria,2020,11243,East,14.6821666666667
Bulgaria,2021,11482,East,13.7155
Bulgaria,2022,9003,East,13.996
Czechia,2005,13121,NA,NA
Czechia,2007,8613,NA,NA
Czechia,2008,9119,NA,NA
Czechia,2009,10233,NA,NA
Czechia,2010,11846,NA,NA
Czechia,2011,11180,NA,NA
Czechia,2012,10216,NA,NA
Czechia,2013,10922,NA,NA
Czechia,2014,9858,NA,NA
Czechia,2015,9250,NA,NA
Czechia,2016,8638,NA,NA
Czechia,2017,9336,NA,NA
Czechia,2018,10312,NA,NA
Czechia,2019,6947,NA,NA
Czechia,2020,6903,NA,NA
Czechia,2021,8489,NA,NA
Czechia,2022,6884,NA,NA
Denmark,2005,2994,NA,NA
Denmark,2007,2741,NA,NA
Denmark,2008,2416,NA,NA
Denmark,2009,2335,NA,NA
Denmark,2010,2580,NA,NA
Denmark,2011,3388,NA,NA
Denmark,2012,1918,NA,NA
Denmark,2013,1764,NA,NA
Denmark,2014,2422,NA,NA
Denmark,2015,1845,NA,NA
Denmark,2016,1652,NA,NA
Denmark,2017,1367,NA,NA
Denmark,2018,2204,NA,NA
Denmark,2019,1720,NA,NA
Denmark,2020,1041,NA,NA
Denmark,2021,1256,NA,NA
Denmark,2022,1195,NA,NA
Germany,2005,66678,NA,NA
Germany,2007,48899,NA,NA
Germany,2008,54721,NA,NA
Germany,2009,63395,NA,NA
Germany,2010,68740,NA,NA
Germany,2011,64513,NA,NA
Germany,2012,51724,NA,NA
Germany,2013,58421,NA,NA
Germany,2014,52069,NA,NA
Germany,2015,49729,NA,NA
Germany,2016,44221,NA,NA
Germany,2017,45212,NA,NA
Germany,2018,49311,West,12.7907114427861
Germany,2019,34375,West,10.5508357487923
Germany,2020,28926,West,9.31781739130435
Germany,2021,32356,West,9.65775735294118
Germany,2022,32628,West,9.5454668989547
Estonia,2005,776,NA,NA
Estonia,2007,633,NA,NA
Estonia,2008,454,NA,NA
Estonia,2009,277,NA,NA
Estonia,2010,445,NA,NA
