"","country","year_of_statistics","Premature_deaths","region","average_pm25"
"1","European Union - 27 countries (from 2020)",2005,"431202",NA,NA
"2","European Union - 27 countries (from 2020)",2007,"349335",NA,NA
"3","European Union - 27 countries (from 2020)",2008,"354004",NA,NA
"4","European Union - 27 countries (from 2020)",2009,"362672",NA,NA
"5","European Union - 27 countries (from 2020)",2010,"367509",NA,NA
"6","European Union - 27 countries (from 2020)",2011,"391884",NA,NA
"7","European Union - 27 countries (from 2020)",2012,"343480",NA,NA
"8","European Union - 27 countries (from 2020)",2013,"328781",NA,NA
"9","European Union - 27 countries (from 2020)",2014,"291671",NA,NA
"10","European Union - 27 countries (from 2020)",2015,"322139",NA,NA
"11","European Union - 27 countries (from 2020)",2016,"283047",NA,NA
"12","European Union - 27 countries (from 2020)",2017,"304667",NA,NA
"13","European Union - 27 countries (from 2020)",2018,"291931",NA,NA
"14","European Union - 27 countries (from 2020)",2019,"231973",NA,NA
"15","European Union - 27 countries (from 2020)",2020,"238582",NA,NA
"16","European Union - 27 countries (from 2020)",2021,"254867",NA,NA
"17","European Union - 27 countries (from 2020)",2022,"239086",NA,NA
"18","European Union - 28 countries (2013-2020)",2005,":",NA,NA
"19","European Union - 28 countries (2013-2020)",2007,":",NA,NA
"20","European Union - 28 countries (2013-2020)",2008,":",NA,NA
"21","European Union - 28 countries (2013-2020)",2009,":",NA,NA
"22","European Union - 28 countries (2013-2020)",2010,":",NA,NA
"23","European Union - 28 countries (2013-2020)",2011,":",NA,NA
"24","European Union - 28 countries (2013-2020)",2012,":",NA,NA
"25","European Union - 28 countries (2013-2020)",2013,":",NA,NA
"26","European Union - 28 countries (2013-2020)",2014,":",NA,NA
"27","European Union - 28 countries (2013-2020)",2015,":",NA,NA
"28","European Union - 28 countries (2013-2020)",2016,":",NA,NA
"29","European Union - 28 countries (2013-2020)",2017,":",NA,NA
"30","European Union - 28 countries (2013-2020)",2018,":",NA,NA
"31","European Union - 28 countries (2013-2020)",2019,":",NA,NA
"32","European Union - 28 countries (2013-2020)",2020,":",NA,NA
"33","European Union - 28 countries (2013-2020)",2021,":",NA,NA
"34","European Union - 28 countries (2013-2020)",2022,":",NA,NA
"35","Belgium",2005,"9333",NA,NA
"36","Belgium",2007,"7197",NA,NA
"37","Belgium",2008,"8628",NA,NA
"38","Belgium",2009,"9500",NA,NA
"39","Belgium",2010,"9829",NA,NA
"40","Belgium",2011,"9064",NA,NA
"41","Belgium",2012,"8132",NA,NA
"42","Belgium",2013,"8690",NA,NA
"43","Belgium",2014,"6256",NA,NA
"44","Belgium",2015,"6214",NA,NA
"45","Belgium",2016,"5775",NA,NA
"46","Belgium",2017,"5679",NA,NA
"47","Belgium",2018,"5917","West",12.995447761194
"48","Belgium",2019,"4537","West",11.3608676470588
"49","Belgium",2020,"3930","West",9.6108
"50","Belgium",2021,"4469","West",10.9348142857143
"51","Belgium",2022,"4147","West",10.4107283950617
"52","Bulgaria",2005,"19288",NA,NA
"53","Bulgaria",2007,"17315",NA,NA
"54","Bulgaria",2008,"19064",NA,NA
"55","Bulgaria",2009,"16173",NA,NA
"56","Bulgaria",2010,"15923",NA,NA
"57","Bulgaria",2011,"20014",NA,NA
"58","Bulgaria",2012,"16041",NA,NA
"59","Bulgaria",2013,"13770",NA,NA
"60","Bulgaria",2014,"14467",NA,NA
"61","Bulgaria",2015,"15036",NA,NA
"62","Bulgaria",2016,"13748",NA,NA
"63","Bulgaria",2017,"13611",NA,NA
"64","Bulgaria",2018,"12552","East",19.5862857142857
"65","Bulgaria",2019,"10413","East",16.538
"66","Bulgaria",2020,"11243","East",14.6821666666667
"67","Bulgaria",2021,"11482","East",13.7155
"68","Bulgaria",2022,"9003","East",13.996
"69","Czechia",2005,"13121",NA,NA
"70","Czechia",2007,"8613",NA,NA
